id,principle_statement,verbatim_quote,explicit_or_inferred,confidence,event_date_edtf,audience,verification,fuzzy_score,char_start,char_end,reasoning
1,Divine aid is necessary to overcome moral trials and resist temptation.,Oh Lord deliver thy servent out of temtations,inferred,0.95,1832-11-27,personal prayer,exact,,7660,7705,Smith’s petitionary prayer demonstrates a theological reliance on divine intervention to maintain moral integrity and the belief that God is the source of deliverance from temptation.
2,Religious communities should be established with a primary focus on education and spiritual empowerment.,building communities with a central focus on education and spiritual empowerment,inferred,0.85,1832-11-27,the community of believers,exact,,7964,8044,"The text identifies these as the core objectives toward which divine revelation directed Joseph Smith and his followers, establishing them as foundational pillars of the movement."
3,Prophetic blessings may include authoritative evaluations of an individual's character and spiritual standing.,"candid evaluations of associates Cowdery, Rigdon, and Williams in connection with blessings he pronounced upon them",inferred,0.8,1832-11-27,church leadership and close associates,exact,,7144,7259,"The text notes that Smith's blessings for his associates contained character assessments, suggesting that such pronouncements are a legitimate medium for communicating divine feedback on an individual's faithfulness."
4,The well-being and safety of one's family is a primary source of spiritual joy and satisfaction.,found all well to the Joy and satisfaction of my soul on my return,inferred,0.85,1832-11-27,personal journal,exact,,7586,7652,Smith’s explicit link between the welfare of his family and the 'satisfaction of [his] soul' highlights the theological and philosophical importance of the domestic sphere in his religious life.
5,A state of mental calmness and serenity is a positive indicator of spiritual well-being.,my mind is calm and serene,inferred,0.8,1832-11-27,personal journal,exact,,7556,7582,Smith’s self-reflection on his mental state as 'calm and serene' in the context of his religious duties suggests that he viewed these qualities as signs of divine favor or spiritual health.
6,Faith-based communities should be established with a central focus on education and spiritual empowerment.,building communities with a central focus on education and spiritual empowerment,inferred,0.85,1832-11-27,Latter-day Saints,exact,,7964,8044,"The text states that revelation directed Joseph Smith toward this specific model of community building, implying it is a foundational principle of the movement."
7,A solemn assembly of the ministry is a divine requirement for spiritual preparation.,a new revelation called for a “solemn assembly” of the lay ministry,explicit,0.9,1832-11-27,lay ministry,exact,,8132,8199,The text identifies a specific revelatory command for a formal gathering of the priesthood as a step in their spiritual progression.
8,Believers are promised a divine endowment of power from on high.,Latter-day Saints would be “endowed with power from on high.”,explicit,0.95,1832-11-27,Latter-day Saints,exact,,8271,8332,This is a direct theological promise regarding the spiritual capacity and authority to be granted to the members of the church.
9,Preparation for spiritual endowment requires training in both spiritual and temporal affairs.,they were to receive training in spiritual and temporal affairs,explicit,0.9,1832-11-27,lay ministry,exact,,8369,8432,The text explicitly states that education in both the spiritual and practical/temporal realms was a prerequisite for receiving the promised endowment.
10,The ritual washing of feet is a preparatory ordinance to be performed in a house of God.,a ritual “washing of feet” in a “house of God.”,explicit,0.95,1832-11-27,lay ministry,exact,,8437,8484,The text identifies the washing of feet as a specific ritual requirement for those preparing to receive the endowment of power.
11,Temples serve as the central reference point for the physical and social development of the community of Zion.,use this temple as the central reference point around which to develop a substantial community,explicit,0.95,1832-11-27,the Saints,exact,,8693,8787,The text describes a revelation-based instruction that positions the temple as the foundational center for the organization and growth of the 'city of the stake of Zion.'
12,The community of Zion is organized into administrative and spiritual units known as stakes.,the city of the stake of Zion,explicit,0.9,1832-11-27,the Saints,exact,,8804,8833,This introduces the theological and organizational concept of a 'stake' as the defining structure for a city within the broader framework of Zion.
13,The expansion of Zion's settlements should proceed outward from a central cluster of temples.,building outward from a cluster of centrally located temples,explicit,0.95,1832-11-27,church leaders in Jackson County,exact,,9037,9097,This reflects a specific theological-spatial principle for urban planning where the temple is the literal and symbolic heart of community expansion.
14,The redemption of Zion is contingent upon the spiritual empowerment of the Saints in the House of the Lord.,the redemption of Zion must await their empowerment in the House of the Lord at Kirtland,explicit,0.95,1832-11-27,Latter-day Saints,exact,,12700,12788,The text explicitly states that a revelation declared the redemption of Zion was dependent on the Saints being empowered in the Kirtland temple.
15,Divine work requires thorough preparation by those called to perform it.,counseled the Latter-day Saints to prepare themselves more thoroughly,explicit,0.9,1832-11-27,Latter-day Saints,exact,,12612,12681,The revelation provides specific counsel on the necessity of preparation for the Saints to fulfill their mission.
