"Divine aid is necessary to overcome moral trials and resist temptation.","Oh Lord deliver thy servent out of temtations",inferred,0.95,exact,
"Religious communities should be established with a primary focus on education and spiritual empowerment.","building communities with a central focus on education and spiritual empowerment",inferred,0.85,exact,
"Prophetic blessings may include authoritative evaluations of an individual's character and spiritual standing.","candid evaluations of associates Cowdery, Rigdon, and Williams in connection with blessings he pronounced upon them",inferred,0.8,exact,
"The well-being and safety of one's family is a primary source of spiritual joy and satisfaction.","found all well to the Joy and satisfaction of my soul on my return",inferred,0.85,exact,
"A state of mental calmness and serenity is a positive indicator of spiritual well-being.","my mind is calm and serene",inferred,0.8,exact,
"Faith-based communities should be established with a central focus on education and spiritual empowerment.","building communities with a central focus on education and spiritual empowerment",inferred,0.85,exact,
"A solemn assembly of the ministry is a divine requirement for spiritual preparation.","a new revelation called for a “solemn assembly” of the lay ministry",explicit,0.9,exact,
"Believers are promised a divine endowment of power from on high.","Latter-day Saints would be “endowed with power from on high.”",explicit,0.95,exact,
"Preparation for spiritual endowment requires training in both spiritual and temporal affairs.","they were to receive training in spiritual and temporal affairs",explicit,0.9,exact,
"The ritual washing of feet is a preparatory ordinance to be performed in a house of God.","a ritual “washing of feet” in a “house of God.”",explicit,0.95,exact,
"Temples serve as the central reference point for the physical and social development of the community of Zion.","use this temple as the central reference point around which to develop a substantial community",explicit,0.95,exact,
"The community of Zion is organized into administrative and spiritual units known as stakes.","the city of the stake of Zion",explicit,0.9,exact,
"The expansion of Zion's settlements should proceed outward from a central cluster of temples.","building outward from a cluster of centrally located temples",explicit,0.95,exact,
"The redemption of Zion is contingent upon the spiritual empowerment of the Saints in the House of the Lord.","the redemption of Zion must await their empowerment in the House of the Lord at Kirtland",explicit,0.95,exact,
"Divine work requires thorough preparation by those called to perform it.","counseled the Latter-day Saints to prepare themselves more thoroughly",explicit,0.9,exact,
"Ecclesiastical leadership is strengthened through the organization of a presidency and a high council.","strengthened local church leadership by appointing a presidency and a “high council” consisting of twelve men",inferred,0.85,exact,
"The establishment of Zion involves the legal acquisition of property.","directed them to continue to purchase lands in the vicinity of Jackson County",inferred,0.8,exact,
"God has the capacity to provide divine direction to an individual's thoughts.","oh Oh, may God grant that I may be directed in all my thaughts thoughts",explicit,0.95,exact,
"God bestows blessings upon those who identify as His servants.","Oh bless thy Servent servant",explicit,0.9,exact,
"Maintaining a detailed record of one's life and observations is a purposeful and significant activity.","for the purpose to keep a minute acount account of all things that come under my obsevation observation",inferred,0.8,exact,
"God is the source of mental serenity and peace.","this This Evening evening my mind is calm and serene , for which I thank the Lord .",inferred,0.95,exact,
"God has the power to preserve and spare human life.","the The Lord spare the life of thy servent servant.",inferred,0.95,exact,
"Prophetic revelation can provide specific geographic and administrative direction for church leadership.","Brother Fr ederic Frederick G. Williams Frederick G. Williams Prophcyed prophesied tha t next spring I should go to the city of Pitts Burg Pittsburgh to establish a Bis hopwrick bishopric",inferred,0.9,fuzzy,97.8609625668449
"Priesthood ordination is a physical act performed by the laying on of hands by one in authority.","ordaind Ordained Brothe r Brother Packherd Noah Packard with my own hands",inferred,0.9,exact,
"The recording of divine revelation involves a process of writing and subsequent correction or refinement by the prophet.","wrote Wrote and cor rected revelations",inferred,0.85,exact,
"The Sabbath is a day designated for communal worship and religious assembly.","the The sabath Sabbath. went Went to meeting",inferred,0.8,exact,
"Believers have a responsibility to share their personal witness of the gospel with those they encounter, including families and individuals.","bore Bore testmony testimony to him and Family family",inferred,0.8,exact,
"God is the source of deliverance from temptation and the provider of wisdom and understanding to those who seek Him.","Oh O Lord , deliver thy servent servant out of temtations temptations and fill his heart with wisdom and understanding .",explicit,0.95,exact,
"The true meaning of scriptural parables is unlocked through modern divine revelation.","received a Revelation revelation explaining the Parable parable of the wheat and the tears tares",inferred,0.9,exact,
"The work of the ministry is to be conducted in companionships under the direction of a governing council.","ordered by the council that he should be a comp anion with Brothe r Brother Noah packard Packard in the work of the ministry",inferred,0.85,exact,
"God is the divine agent who confirms or 'seals' the truth of a spiritual testimony upon the hearts of listeners.","O God Seal , seal our te s timony to their hearts .",inferred,0.95,exact,
"The Sabbath is a designated day for believers to gather for communal worship and meetings.","arrived Arrived at Springfield Pennsylvania on the sabbath Sabbath . found Found the Brotheren brethren in mee ting .",inferred,0.85,exact,
"Public preaching and speaking are primary methods for delivering religious instruction to a congregation.","Brother Sidney Rigdon spake spoke to the people",inferred,0.8,exact,
"Attentiveness and receptivity from a congregation are valued during the delivery of religious messages.","had Had a great congre gation , paid good attention",inferred,0.75,exact,
"God has the power to confirm and validate human testimony within the hearts of individuals.","O God Seal , seal our te s timony to their hearts .",explicit,0.95,exact,
"Inspired preaching and spiritual instruction are directed by the Holy Spirit, which provides the speaker with the words to say.","We spoke to them as the spirite Spirit gave utterence utterance.",explicit,0.95,exact,
"The Lord bestows His Spirit in a marvelous manner during religious gatherings.","the The Lord gave his spirit Spirit in marvilous marvelous man n er",explicit,0.95,exact,
"The God of Abraham is the source of spiritual manifestations and the proper object of gratitude.","I am thankful to the god God of Ab r aham",explicit,0.9,exact,
"Divine protection and preservation should be sought through prayer for one's family.","Lord , bless my family and preserve them .",inferred,0.85,exact,
"The presence of the Lord is a necessary companion for safety and guidance during travel.","Lord , be with us on our Journy journey.",inferred,0.85,exact,
"Personal testimony (bearing record) is a distinct and essential accompaniment to the preaching of the gospel.","Brother Sidney Rigdon preached , & and I bear bore record to the people .",inferred,0.8,exact,
"The assurance of the Lord's presence contributes to an individual's mental and spiritual well-being.","I feel very well in my mind . the The Lord is with us",inferred,0.8,exact,
"Human intentions and future plans are subordinate to the will of God","the Lord willing ,",inferred,0.9,exact,
"The effectiveness of spiritual instruction is contingent upon the audience's willingness to listen and give heed","gave good heed to the things which were spoken",inferred,0.8,exact,
"The purpose of missionary travel and preaching is to 'do good'","prospects of doing good",inferred,0.75,exact,
"Opposition to religious truth is often characterized by a lack of reason and knowledge.","destitute of reason or knawledge he knowledge.",inferred,0.85,exact,
